Symbol, Name, lastsale, netchange,pctchange, share_volume, Nasdaq100_points,Unnamed: 7
AAL, American Airlines Group Inc.,45.73,-0.09,-0.2,1584683,0.0,
AAPL, Apple Inc.,173.97,-0.7,-0.4,16125767,-3.2,
ADBE, Adobe Systems Incorporated,181.86,0.14,0.08,1370939,0.1,
ADI, Analog Devices Inc.,90.04,0.45,0.5,2007854,0.1,
ADP, Automatic Data Processing Inc.,111.53,0.44,0.4,2905754,0.2,
ADSK, Autodesk Inc.,124.64,1.53,1.24,1149148,0.3,
AKAM, Akamai Technologies Inc.,53.51,-0.75,-1.38,2393895,-0.1,
ALGN, Align Technology Inc.,253.74,4.28,1.72,912672,0.3,
ALXN, Alexion Pharmaceuticals Inc.,113.44,-1.73,-1.5,1540857,-0.3,
AMAT, Applied Materials Inc.,57.02,0.66,1.17,8836640,0.6,
AMGN, Amgen Inc.,171.47,-0.88,-0.51,1938236,-0.6,
AMZN, Amazon.com Inc.,1128.93,3.58,0.32,2803931,1.5,
ATVI, Activision Blizzard Inc,63.62,0.62,0.98,2861843,0.4,
AVGO, Broadcom Limited,264.95,-0.01,0.0,2554400,0.0,
BIDU, Baidu Inc.,237.45,0.05,0.02,1619851,0.0,
BIIB, Biogen Inc.,315.67,5.23,1.68,1065196,1.0,
BMRN, BioMarin Pharmaceutical Inc.,81.07,-0.96,-1.17,865250,-0.2,
CA, CA Inc.,32.32,-0.13,-0.4,1195910,-0.1,
CELG, Celgene Corporation,101.17,-1.17,-1.14,4818986,-0.8,
CERN, Cerner Corporation,65.465,0.155,0.24,1063841,0.0,
CHKP, Check Point Software Technologies Ltd.,102.8,0.29,0.28,2315768,0.0,
CHTR, Charter Communications Inc.,343.84,5.4,1.6,869359,1.2,
CMCSA, Comcast Corporation,37.25,0.4,1.09,14883658,1.6,
COST, Costco Wholesale Corporation,171.46,0.1,0.06,3874585,0.0,
CSCO, Cisco Systems Inc.,33.95,-0.04,-0.12,14932613,-0.2,
CSX, CSX Corporation,49.74,-0.34,-0.68,4663620,-0.3,
CTAS, Cintas Corporation,147.37,1.27,0.87,454225,0.1,
CTRP, Ctrip.com International Ltd.,46.49,0.82,1.8,5719222,0.3,
