symbol,xbrl,xbrl_cik,edgar_cik,snp500_cik,xbrl_name,edgar_name,snp500_name,nasdaq100_name,dj_name,snp400_name,DJ,NASDAQ100,SNP500,SNP400,sic,fye,period,filed,nciks,aciks,entityid,marketoperator,markettier,primaryexchange,siccode,sicdescription
,True,5187.0,5187.0,,WYETH,WYETH,,,,,,,,,2834,1231,20090630,20090806,1,,9752.0,,,,,Pharmaceutical Preparations
,True,1310243.0,1310243.0,,"ALPHA NATURAL RESOURCES, INC./OLD","ALPHA NATURAL RESOURCES, INC./OLD",,,,,,,,,1221,1231,20090630,20090807,1,,656997.0,,,,,Bituminous Coal and Lignite Surface Mining
,True,944868.0,,,DIRECTV GROUP INC,,,,,,,,,,4899,1231,20090930,20091106,1,,,,,,,
,True,1076405.0,1076405.0,,PEPSI BOTTLING GROUP INC,PEPSI BOTTLING GROUP INC,,,,,,,,,2080,1231,20091231,20100222,1,,10886.0,,,,,Beverages
,True,1087835.0,1087835.0,,BOTTLING GROUP LLC,BOTTLING GROUP LLC,,,,,,,,,2080,1231,20091231,20100222,1,,64319.0,,,,,Beverages
,True,64978.0,64978.0,,MERCK SHARP & DOHME CORP.,MERCK SHARP & DOHME CORP.,,,,,,,,,2834,1231,20091231,20100330,1,,8304.0,,,,,Pharmaceutical Preparations
,True,864328.0,864328.0,,BJ SERVICES CO,BJ SERVICES CO LLC,,,,,,,,,1389,0930,20091231,20100209,1,,608.0,,,,,"Oil and Gas Field Services, Not Elsewhere Classified"
,True,1335793.0,1335793.0,,CNX GAS CORP,CNX GAS CORP,,,,,,,,,1311,1231,20100331,20100504,1,,682710.0,,,,,Crude Petroleum and Natural Gas
,True,868809.0,868809.0,,XTO ENERGY INC,XTO ENERGY INC,,,,,,,,,1311,1231,20100331,20100506,1,,5856.0,,,,,Crude Petroleum and Natural Gas
,True,1094316.0,1094316.0,,TRINTECH GROUP PLC,TRINTECH GROUP PLC,,,,,,,,,7372,0131,20090131,20100617,1,,74353.0,,,,,Services-Prepackaged Software
,True,930184.0,930184.0,,VALEANT PHARMACEUTICALS INTERNATIONAL,VALEANT PHARMACEUTICALS INTERNATIONAL,,,,,,,,,2834,1231,20100630,20100803,1,,9124.0,,,,,Pharmaceutical Preparations
,True,1137048.0,1137048.0,,ODYSSEY RE HOLDINGS CORP,ODYSSEY RE HOLDINGS CORP,,,,,,,,,6331,1231,20100630,20100804,1,,84989.0,,,,,"Fire, Marine and Casualty Insurance"
