symbol,name
AAN,Aaron's Inc
ABMD,Abiomed
ACHC,Acadia Healthcare
ACIW,ACI Worldwide Inc
ATGE,Adtalem Global Education
ACM,AECOM
ACXM,Acxiom
ACC,American Campus Communities
AEO,American Eagle Outfitters
AFG,American Financial Group Inc
AGCO,AGCO Corp
AHL,Aspen Insurance Holdings Ltd
AKRX,"Akorn, Inc"
ALEX,Alexander & Baldwin Inc
Y,Alleghany Corp
ATI,Allegheny Technologies Inc
AMCX,AMC Networks
AN,AutoNation
WTR,Aqua America Inc
ARW,Arrow Electronics Inc
ARRS,Arris International
ASB,Associated Banc-Corp
ASH,Ashland Inc
ATO,Atmos Energy Corp
ATR,AptarGroup Inc
CAR,Avis Budget Group
AVT,Avnet Inc
AVP,Avon Products Inc
BBBY,Bed Bath & Beyond
BC,Brunswick Corp
BCO,Brink's Company (The)
BDC,Belden Inc
BID,Sotheby's
BIG,Big Lots
BIO,Bio-Rad Laboratories-A
BIVV,Bioverativ
BKH,Black Hills Corp
BLKB,Blackbaud
BMS,Bemis Company
BOH,Bank of Hawaii Corp
BR,Broadridge Financial Solutions
BRCD,Brocade Communications Systems
BRO,Brown & Brown Inc
BWLD,Buffalo Wild Wings Inc
BXS,BancorpSouth Inc
CAA,CalAtlantic Group Inc
CABO,Cable One Inc
CAKE,Cheesecake Factory Inc
CARS,Cars.com Inc
CASY,Casey's General Stores
CATY,Cathay General Bancorp
CBSH,Commerce Bancshares
CBT,Cabot Corp
CC,Chemours
CDK,CDK Global Inc
CFR,Cullen/Frost Bankers Inc
CGNX,Cognex Corporation
CHDN,Churchill Downs Inc
CHFC,Chemical Financial Corp
CIEN,Ciena Corp
CLB,Core Laboratories
CLGX,CoreLogic
CLH,Clean Harbors Inc
CLI,Mack-Cali Realty Corporation
CMC,Commercial Metals Company
CMP,Compass Minerals International Inc.
CNK,Cinemark Holdings Inc
CNO,CNO Financial Group
COHR,"Coherent, Inc."
CONE,CyrusOne
COR,CoreSite Realty
CPE,Callon Petroleum
CPRT,"Copart, Inc."
CPT,Camden Property Trust
CR,Crane Co.
CREE,Cree Inc
CRI,"Carter's, Inc."
CRL,Charles River Laboratories
CRS,Carpenter Technology
CRUS,Cirrus Logic Inc
CNX,Consol Energy
CSL,Carlisle Companies Inc.
CTB,Cooper Tire & Rubber Company
CTLT,Catalent Inc
CUZ,Cousins Properties Inc
CVG,Convergys Corp
CVLT,CommVault Systems
CXW,CoreCivic
CW,Curtiss-Wright Corp
CBRL,Cracker Barrel
CY,Cypress Semiconductor Corp
DAN,Dana Incorporated
DBD,Diebold Inc
DCI,Donaldson Co
